,LATITUDE,LONGITUDE
533086,41.6945105952303,-87.623501899127
533249,41.95199753518529,-87.75696016670123
533647,41.856957364814726,-87.65899297940828
533671,41.88044297027751,-87.65690501572311
533813,41.762453499600156,-87.59494502240062
533953,41.76257352116429,-87.59561965900238
534415,41.976214240288726,-87.81684628535768
534464,41.988870038616476,-87.79010241526207
535234,41.75410071358535,-87.56521246129137
535705,41.996568251392134,-87.78539288074471
536036,41.808083927258046,-87.70045733992214
536060,41.910250923179206,-87.70702365016308
536133,41.85745920745639,-87.65114661348936
536252,41.77031334414656,-87.66168630624401
536629,41.779627139901926,-87.77048528887507
536653,41.95556745403974,-87.72935304062321
536960,41.76323650474009,-87.56198217127745
537219,41.76249702400458,-87.56355613560673
537361,41.76619520230968,-87.56290818204239
537571,41.7660277795161,-87.57644312277864
538345,41.87606542268513,-87.69835779417214
538626,41.77614668751915,-87.76424290535151
538650,41.88210523096888,-87.69604511010607
538837,41.681168525280704,-87.67291512571472
539101,41.709141952573816,-87.68283894980455
539220,41.68536384350728,-87.67519494935081
539479,41.702485123082546,-87.71121502259834
539714,41.70530224402289,-87.68820601606899
539762,41.682239141231534,-87.71036083711455
539856,41.70984389539024,-87.56226688433081
540305,41.881907086330784,-87.69385130132886
540705,41.767516248628176,-87.61837785336577
540822,41.92489628455924,-87.69756202077957
541106,42.013958173911846,-87.70134946699626
541436,41.98819346464492,-87.74846665307017
541460,41.97228812631384,-87.74805874271216
541556,41.93525305312379,-87.74969970325886
541672,42.01914396033596,-87.70680870847818
543036,42.01913439051973,-87.69502912790743
543459,42.017787821533,-87.69207222943308
543483,42.017933424893656,-87.69946407821614
543784,41.88770141997973,-87.62100491232191
543808,41.95596708134602,-87.85834545353866
543925,41.86988491502747,-87.7278167018188
544064,41.89317614473838,-87.67074525860373
544088,41.89170825592946,-87.67368513801176
544299,41.76928444827053,-87.59092811973042
544554,41.968778406688905,-87.78331328122269
544625,41.92305507607232,-87.80607890520233
544889,41.70302845358419,-87.53030631814337
545125,41.92825073401747,-87.69250230780422
545195,41.72626275552052,-87.55390863490534
545290,41.92616902982347,-87.71595793642669
545385,41.79621686251361,-87.77866533262211
545479,41.92326327131886,-87.66842165391027
545669,41.93972412413428,-87.65922391290161
545786,41.70076318925675,-87.68596185332855
545857,41.97521932248162,-87.71462900899807
545953,41.92133643443221,-87.68522961286037
546384,41.75843177925049,-87.61984821571747
546455,41.75849029337105,-87.61662793095955
546575,41.81826037479692,-87.62119173186937
546716,41.89433066404304,-87.75572518628393
546789,41.67051851455083,-87.63460121092687
546977,41.700764909438966,-87.68581117716124
547025,41.958493383996576,-87.75746414107996
547072,41.89929886181724,-87.70186669835766
547214,41.93704484795919,-87.74696412539859
547399,41.946733240155,-87.7087935678919
547890,41.83669993346192,-87.68534628301019
548079,41.911102331521796,-87.71156359010008
548173,41.808081098531154,-87.71576340020327
548454,41.93655963071691,-87.78869158993204
548549,41.966312796393524,-87.76022392198117
548667,41.946672421471995,-87.71301351476538
548972,41.94670437351447,-87.71050105589774
549112,41.78022726220425,-87.62036364118913
549253,41.94647539244078,-87.7128572020701
549300,41.87454018025976,-87.66675463356424
549347,41.9569221872476,-87.76856733669372
549442,41.85810443081072,-87.64888763122711
549794,41.735482189474155,-87.73830605068365
549958,41.91356274629563,-87.72659414411812
550006,41.681275239495406,-87.66261734813614
